name,CO,effective_coordination,ss-coupling,dd-coupling,d_sp-coupling,sp_d-coupling,dBandCenter,WorkFunction,IonizationPotential,ElectronAffinity,Pauling,DeltaPauling,filling,center,sigma_c,skewness,kurtosis,AtomicRadius,OrbitalRadius
M-Ni-Cu,-1.438149,9.026055894,10.67514105,9.598866863,10.17876061,9.830647357,-1.29,5.77,7.64,1.16,1.91,1.906994486,0.866845025,-1.058236136,1.225607958,0.370870202,5.860200899,1.38,0.71
M-Ni-Ru,-1.666744,12.78169999,10.92112966,14.1462295,10.59851179,14.27015624,-1.29,5.77,7.64,1.16,1.91,1.992737811,0.870556035,-1.180083304,1.210548241,0.343018922,5.964618415,1.38,0.71
M-Ni-Rh,-1.618728,11.46538683,10.9422014,13.54812125,10.63550837,13.63242637,-1.29,5.77,7.64,1.16,1.91,2.014205656,0.862961577,-1.196839573,1.219834316,0.279196388,6.020930014,1.38,0.71
M-Ni-Pd,-1.69597,10.14943816,11.10334483,13.64052121,10.92259827,13.49891879,-1.29,5.77,7.64,1.16,1.91,1.992737811,0.866354788,-1.127358063,1.156319776,0.284750287,6.080364474,1.38,0.71
M-Ni-Ag,-1.856567,12.8200552,11.26225995,13.67358118,11.21451658,13.31832312,-1.29,5.77,7.64,1.16,1.91,1.91597814,0.882387482,-0.806608553,1.012896015,0.197426914,10.77739629,1.38,0.71
M-Ni-W,-1.34811,20.43979066,11.50296652,20.83490488,11.6718564,19.56885731,-1.29,5.77,7.64,1.16,1.91,2.035152501,0.876965759,-1.419479436,1.364550871,0.938840524,6.339224876,1.38,0.71
M-Ni-Re,-1.540061,16.43363514,11.10340118,17.02103195,10.92272668,16.81658254,-1.29,5.77,7.64,1.16,1.91,1.906994486,0.874576851,-1.302727946,1.340854816,0.432414854,6.112107486,1.38,0.71
M-Ni-Ir,-1.690516,12.7320561,10.99744768,14.87201309,10.73289359,14.87922069,-1.29,5.77,7.64,1.16,1.91,1.992737811,0.864712906,-1.165495492,1.2654327,-0.11765429,6.872548413,1.38,0.71
M-Ni-Pt,-1.781409,12.69277334,11.25102498,15.63308745,11.19319863,15.20656082,-1.29,5.77,7.64,1.16,1.91,2.014205656,0.871043416,-1.175245821,1.251528675,-0.141375267,6.5305769,1.38,0.71
M-Ni-Au,-1.998968,13.04078129,11.46695405,16.32683612,11.60190087,15.50451569,-1.29,5.77,7.64,1.16,1.91,2.080527555,0.877713209,-0.870215748,1.126491871,-0.288753887,9.5331085,1.38,0.71
M-Ni,-1.389181,8.912960588,10.5,9.530330086,9.891905336,9.891905336,-1.29,5.77,7.64,1.16,1.91,1.91,0.867716853,-1.405790032,1.374056827,0.454568849,4.933961105,1.38,0.71
M-Cu,-0.467776,8.923211197,10.5,9.530330086,9.891905336,9.891905336,-2.67,5.3,7.73,1.24,1.9,1.9,0.972215011,-2.383479033,1.049691457,1.120221494,9.923558007,1.41,0.67
M-Ru,-1.783024,9.512211171,10.68091433,9.93908452,10.18823727,10.18823727,-1.41,5.73,7.36,1.05,2.2,2.2,0.705151956,-1.408756268,2.07756513,0.107570537,2.469496521,1.48,1.05
M-Rh,-1.681575,9.156321221,10.56865489,9.682001624,10.00312673,10.00312673,-1.73,5.91,7.46,1.14,2.28,2.28,0.790923346,-1.695593342,1.876600066,0.260073181,3.119721635,1.49,0.99
M-Pd,-1.22526,8.95696662,10.5,9.530330086,9.891905336,9.891905336,-1.83,5.9,8.34,0.56,2.2,2.2,0.917306575,-1.711053007,1.426094341,0.39040219,3.983247775,1.52,0.94
M-Ag,0.036089,8.952543526,10.5,9.530330086,9.891905336,9.891905336,-4.3,5.01,7.58,1.3,1.93,1.93,0.979916496,-3.976128879,1.130815859,2.414728581,16.55953151,1.59,0.89
M-W,-1.770781,8.944225217,10.5,9.530330086,9.891905336,9.891905336,0.77,5.09,7.98,0.86,2.36,2.36,0.472083331,0.145742275,2.544757601,-0.028007911,2.1498664,1.56,1.27
M-Re,-1.569804,10.16516474,10.84970182,10.3482561,10.47454216,10.47454216,-0.51,5.88,7.88,0.15,1.9,1.9,0.606155493,-0.688847766,2.845175922,0.011364061,2.107986715,1.52,1.2
M-Ir,-1.75277,9.260594417,10.5879961,9.725410614,10.03469914,10.03469914,-2.11,6.63,9.1,1.57,2.2,2.2,0.772868279,-2.132659248,2.401270602,0.084761765,2.624798985,1.5,1.08
M-Pt,-1.380699,8.829185938,10.46203703,9.448341401,9.831094474,9.831094474,-2.25,6.74,9,2.13,2.28,2.28,0.877249873,-2.116947967,1.897980076,0.208376842,3.249394845,1.53,1.04
M-Cu-Ni,-0.515961,8.954989862,10.37893448,9.570815344,9.699634879,10.03584225,-2.67,5.3,7.73,1.24,1.9,1.90299449,0.969725041,-2.387534456,1.148638055,0.947712856,7.624793025,1.41,0.67
M-Cu-Ru,-0.828386,12.00557558,10.64397092,13.55947554,10.12685721,14.09638501,-2.67,5.3,7.73,1.24,1.9,1.985428835,0.97050704,-2.197331791,0.995456042,1.176670518,9.989445629,1.41,0.67
M-Cu-Rh,-0.817033,11.01213421,10.70661998,13.18406289,10.23126015,13.59994262,-2.67,5.3,7.73,1.24,1.9,2.00681794,0.969396229,-1.99238033,0.990872828,0.925097108,9.539841707,1.41,0.67
M-Cu-Pd,-0.783075,10.32795863,11.00711571,13.90146266,10.75006367,13.89367072,-2.67,5.3,7.73,1.24,1.9,1.985428835,0.975137516,-1.742947186,0.948210253,0.787343758,9.614806841,1.41,0.67
M-Cu-Ag,-0.705262,13.55449086,11.22261264,14.19359228,11.14067257,13.87032649,-2.67,5.3,7.73,1.24,1.9,1.908950703,0.977176791,-1.966507399,0.859995506,0.832164835,17.06551655,1.41,0.67
